Sample in Buffer	Sample in Window	trig0/data0[0]	trig0/data0[1]	trig0/data0[2]	trig0/data0[3]	trig0/data0[4]	trig0/data0[5]	trig0/data0[6]	trig0/data0[7]	trig0/data0[8]	trig0/data0[9]	trig0/data0[10]	trig0/data0[11]	trig1/data1[0]	trig2/data2[0]	trig2/data2[1]	trig2/data2[2]	trig2/data2[3]	trig2/data2[4]	trig2/data2[5]	trig2/data2[6]	trig2/data2[7]	trig2/data2[8]	trig2/data2[9]	trig2/data2[10]	trig2/data2[11]	trig3/data3[0]	trig3/data3[1]	trig3/data3[2]	trig3/data3[3]	trig3/data3[4]	trig3/data3[5]	trig3/data3[6]	trig3/data3[7]	trig3/data3[8]	trig3/data3[9]	trig3/data3[10]	trig3/data3[11]	rxd	rx_i	rx_q
29	29	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	40	69	10	
30	30	0	1	0	0	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	-46	55	-11	
31	31	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	14	55	-11	
32	32	0	1	1	1	0	0	1	1	1	1	1	1	1	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	1	0	1	0	0	0	0	0	0	-50	40	-32	
33	33	0	0	1	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	1	0	1	0	0	0	0	0	0	-12	40	-32	
34	34	1	0	1	1	0	0	1	1	1	1	1	1	1	0	1	0	0	1	0	1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	-51	14	-46	
35	35	0	1	0	1	1	0	1	1	1	1	1	1	0	0	1	0	0	1	0	1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	-38	14	-46	
36	36	1	0	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	1	1	-43	-12	-50	
37	37	1	1	1	0	0	0	1	1	1	1	1	1	0	0	1	1	1	0	0	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	1	1	-57	-12	-50	
38	38	1	1	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	-29	-38	-51	
39	39	0	0	1	0	1	1	0	1	1	1	1	1	0	1	0	1	1	0	0	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	-76	-38	-51	
40	40	1	0	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	-11	-57	-43	
41	41	0	1	0	1	0	1	0	1	1	1	1	1	0	1	0	1	0	1	0	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	-86	-57	-43	
42	42	1	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	1	1	1	1	1	1	1	0	0	1	0	1	1	0	1	1	1	1	1	17	-76	-29	
43	43	1	0	1	0	0	1	0	1	1	1	1	1	0	1	1	0	0	0	1	1	1	1	1	1	1	0	0	1	0	1	1	0	1	1	1	1	1	-91	-76	-29	
44	44	1	0	1	1	0	1	0	0	0	0	0	0	1	1	0	1	0	1	1	1	1	1	1	1	1	0	1	0	1	0	1	0	1	1	1	1	1	45	-86	-11	
45	45	0	1	0	1	0	1	0	1	1	1	1	1	0	1	0	1	0	1	1	1	1	1	1	1	1	0	1	0	1	0	1	0	1	1	1	1	1	-86	-86	-11	
46	46	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	1	1	1	1	65	-91	17	
47	47	0	0	1	0	1	1	0	1	1	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	1	1	1	1	-76	-91	17	
48	48	1	1	1	0	1	0	1	0	0	0	0	0	1	1	0	1	1	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	1	1	1	1	1	87	-86	45	
49	49	1	0	0	0	0	0	1	1	1	1	1	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	1	1	1	1	1	-63	-86	45	
50	50	0	1	0	1	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	1	1	1	1	1	106	-76	65	
51	51	1	0	0	1	1	0	1	1	1	1	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	1	1	1	1	1	-39	-76	65	
52	52	1	1	1	1	0	1	1	0	0	0	0	0	1	1	1	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	1	1	111	-63	87	
53	53	0	1	0	0	1	1	1	1	1	1	1	1	0	1	1	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	1	1	-14	-63	87	
54	54	0	0	0	0	1	1	1	0	0	0	0	0	1	0	1	0	1	0	1	1	0	0	0	0	0	1	0	0	1	1	0	1	1	1	1	1	1	112	-39	106	
55	55	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	1	0	0	1	1	0	1	1	1	1	1	1	14	-39	106	
56	56	0	0	0	1	0	1	1	0	0	0	0	0	1	1	1	1	1	0	1	1	0	0	0	0	0	0	1	0	0	1	1	1	1	1	1	1	1	104	-14	111	
57	57	1	1	0	0	0	1	0	0	0	0	0	0	0	1	1	1	1	0	1	1	0	0	0	0	0	0	1	0	0	1	1	1	1	1	1	1	1	35	-14	111	
58	58	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	88	14	112	
59	59	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	55	14	112	
60	60	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	68	35	104	
61	61	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	69	35	104	
62	62	1	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	1	1	1	0	1	1	0	0	0	0	0	0	39	55	88	
63	63	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	1	1	0	1	1	0	0	0	0	0	0	73	55	88	
64	64	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	13	69	68	
65	65	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	66	69	68	
66	66	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	-10	73	39	
67	67	0	1	0	1	1	1	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	58	73	39	
68	68	1	1	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	-29	66	13	
69	69	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	40	66	13	
70	70	1	0	1	0	1	0	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	1	0	0	0	0	0	0	-43	58	-10	
71	71	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	1	0	0	0	0	0	0	19	58	-10	
72	72	0	0	1	1	0	0	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0	0	0	1	0	1	0	0	0	0	0	0	-52	40	-29	
73	73	0	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	0	0	1	1	1	1	1	1	1	0	0	0	1	0	1	0	0	0	0	0	0	-10	40	-29	
